Strain	Lineage	Continent	Color
Sample_55888	GPL		Red
Sample_55890	GPL		Red
Sample_55897	GPL		Red
Sample_55898	BRAZIL		Blue
Sample_55899	GPL		Red
Sample_55900	GPL		Red
Sample_55901	BRAZIL		Blue
Sample_55902	BRAZIL		Blue
Sample_55903	BRAZIL		Blue
Sample_55904	BRAZIL		Blue
Sample_55905	BRAZIL		Blue
Sample_55906	GPL		Red
Sample_55908	GPL		Red
Sample_55910	GPL		Red
Sample_55911	GPL		Red
Sample_55912	GPL		Red
Sample_55913	GPL		Red
Sample_55914	GPL		Red
Sample_55915	GPL		Red
Sample_55916	GPL		Red
Sample_55882	GPL		Red
Sample_55883	GPL		Red
Sample_55886	GPL		Red
Sample_55887	GPL		Red
Sample_55888	GPL		Red
Sample_55890	GPL		Red
Sample_55897	GPL		Red
Sample_55898	GPL		Red
Sample_55899	GPL		Red
Sample_55900	GPL		Red
Sample_55901	GPL		Red
Sample_55902	GPL		Red
Sample_55903	GPL		Red
Sample_55904	BRAZIL		Blue
Sample_55905	GPL		Red
Sample_55906	BRAZIL		Blue
Sample_55908	BRAZIL		Blue
Sample_55910	BRAZIL		Blue
Sample_55911	GPL		Red
Sample_55912	GPL		Red
Sample_55913	GPL		Red
Sample_55914	GPL		Red
Sample_55915	GPL		Red
Sample__55916	BRAZIL	South America	Blue
Sample_55882	GPL		Red
Sample_55883	GPL		Red
SCHCH	GPL		Red
SFBC014GB	GPL		Red
Sora	GPL		Red
SP10IT	GPL		Red
SRS812	GPL		Red
STR3CH	GPL		Red
SWED.40.5.04	GPL		Red
SWED.40.5.13	GPL		Red
SWED.40.5.14	GPL		Red
SWED.40.5.17	GPL		Red
SWED.40.5.22	GPL		Red
SWISSIT1	GPL		Red
TER1.1	GPL		Red
TER3.1	GPL		Red
TER4.2	GPL		Red
TF5a1_ES	CAPE	Africa	Green
TORO1ES	GPL		Red
TST75	GPL		Red
TW16.050	GPL		Red
TW16.164	GPL		Red
TW16.206	GPL		Red
TW16.279	GPL		Red
TW16.280	GPL		Red
TW16.292	GPL		Red
TW16.293	GPL		Red
TW16.295	GPL		Red
TW16.304	GPL		Red
TW16.519	GPL		Red
UKBEL	GPL	Europe	Red
UKBER	GPL	Europe	Red
UKMAB	GPL		Red
UKTVB	GPL		Red
UM142	BRAZIL		Blue
VA02	GPL		Red
VC1CA	GPL		Red
VOR3CH	GPL		Red
Sample_55937	BRAZIL	South America	Blue
Sample_55933	BRAZIL	South America	Blue
Sample_55935	BRAZIL	South America	Blue
Sample_55903	BRAZIL	South America	Blue
Sample_55904	BRAZIL	South America	Blue
Sample_55902	BRAZIL	South America	Blue
Sample_55898	BRAZIL	South America	Blue
Sample_55945	BRAZIL	South America	Blue
Sample_55887	BRAZIL	South America	Blue
Sample_55929	CAPE		Green
Sample_55930	GPL		Red
UM142	BRAZIL		
CLFT139	BRAZIL		
CLFT039	Hybrid		
MAD_FR	GPL		
SA4c_ZA	CAPE		
DB8-4	CAPE		
DB8.2	CAPE		
SA-KN1	CAPE		
SA-KN3	CAPE		
SA1d_ZA	CAPE		
MG1_ZA	CAPE		
RC5.1_FR	CAPE		
SA_EC5	Hybrid		
CLFT144	BRAZIL		
CLFT070	BRAZIL		
CLFT068	BRAZIL		
CLFT148	BRAZIL		
